Label,Threat_v2,Flow Packets/s,Flow Bytes/s,Flow Duration,Total Fwd Packets,Total Backward Packets
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,26666.66667,160000.0,75,1,1
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,62500.0,375000.0,32,1,1
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,2624.015994,2486192.678,8003,15,6
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,2000000.0,617000000.0,1,2,0
BENIGN,ALERT: HIGH_PACKET_RATE,60000.0,0.0,50,1,2
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,53333.33333,106666.6667,75,3,1
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,19230.76923,221153.8462,208,4,0
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,12121.21212,824242.4242,330,2,2
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,18099.54751,814479.638,221,2,2
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,13245.03311,1754966.887,302,2,2
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,14134.27562,1872791.519,283,2,2
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,24096.38554,2240963.855,166,2,2
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,14545.45455,1345454.545,275,2,2
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,15037.59398,1526315.789,266,2,2
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,3508.77193,278947.3684,1140,2,2
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,13651.87713,1365187.713,293,2,2
BENIGN,ALERT: HIGH_PACKET_RATE,10695.18717,0.0,187,1,1
BENIGN,ALERT: HIGH_PACKET_RATE,18018.01802,0.0,111,1,1
BENIGN,ALERT: HIGH_BYTE_RATE,746.4404557,767898.8748,143347,47,60
BENIGN,ALERT: HIGH_BYTE_RATE,722.7291364,774918.5192,143899,46,58
BENIGN,ALERT: HIGH_BYTE_RATE,722.274815,771894.3936,142605,45,58
BENIGN,ALERT: HIGH_BYTE_RATE,694.7417175,711415.5187,142499,46,53
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,2434.11113,2498321.303,23828,27,31
BENIGN,ALERT: HIGH_BYTE_RATE,428.2475439,387891.5106,119090,23,28
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,2390.83931,2496707.353,23841,26,31
BENIGN,ALERT: HIGH_BYTE_RATE,552.661063,509322.3873,199037,47,63
BENIGN,ALERT: HIGH_BYTE_RATE,741.6580956,678771.0865,142923,46,60
BENIGN,ALERT: HIGH_BYTE_RATE,114.1450313,100147.7171,446800,23,28
BENIGN,ALERT: HIGH_BYTE_RATE,719.0643704,704443.3948,141851,47,55
BENIGN,ALERT: HIGH_BYTE_RATE,763.5373101,767086.7268,145376,51,60
BENIGN,ALERT: HIGH_BYTE_RATE,720.7635895,739699.3786,142904,47,56
BENIGN,ALERT: HIGH_BYTE_RATE,764.8693407,741881.1575,142508,50,59
BENIGN,ALERT: HIGH_BYTE_RATE,750.5559024,782149.3957,142561,48,59
BENIGN,ALERT: HIGH_BYTE_RATE,786.5776148,783220.614,142389,52,60
BENIGN,ALERT: HIGH_BYTE_RATE,723.2993687,739036.3967,142403,45,58
BENIGN,ALERT: HIGH_BYTE_RATE,703.7842479,743942.1771,142089,45,55
BENIGN,ALERT: HIGH_BYTE_RATE,753.0014497,743979.5071,142098,49,58
BENIGN,ALERT: HIGH_BYTE_RATE,364.5897977,347105.0019,128912,21,26
BENIGN,ALERT: HIGH_BYTE_RATE,775.0584785,778703.3481,143215,50,61
BENIGN,ALERT: HIGH_BYTE_RATE,570.1346271,576470.6515,185921,48,58
BENIGN,ALERT: HIGH_BYTE_RATE,602.1433254,716306.651,131198,29,50
BENIGN,ALERT: HIGH_BYTE_RATE,596.5506589,539984.8732,187746,48,64
BENIGN,ALERT: HIGH_BYTE_RATE,562.4834174,537935.792,188450,47,59
BENIGN,ALERT: HIGH_BYTE_RATE,379.0851412,346776.4462,300724,49,65
BENIGN,ALERT: HIGH_BYTE_RATE,557.1116063,547829.8203,195652,49,60
BENIGN,ALERT: HIGH_BYTE_RATE,761.3167287,738477.2269,143173,51,58
BENIGN,ALERT: HIGH_BYTE_RATE,728.5566173,771121.1365,142748,47,57
BENIGN,ALERT: HIGH_BYTE_RATE,731.1843077,722860.0555,142235,47,57
BENIGN,ALERT: HIGH_BYTE_RATE,609.4484164,635582.613,152597,42,51
BENIGN,ALERT: HIGH_BYTE_RATE,738.0696316,743158.7974,142263,47,58
BENIGN,ALERT: HIGH_BYTE_RATE,743.9745083,741995.2554,142478,49,57
BENIGN,ALERT: HIGH_BYTE_RATE,669.7656618,795506.1913,125417,29,55
BENIGN,ALERT: HIGH_BYTE_RATE,541.3696653,568724.756,188411,43,59
BENIGN,ALERT: HIGH_BYTE_RATE,698.2402934,670726.8047,141785,44,55
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,1185.712168,1400686.94,155181,78,106
BENIGN,ALERT: HIGH_BYTE_RATE,512.5755178,504483.7917,200946,47,56
BENIGN,ALERT: HIGH_BYTE_RATE,702.7505657,742765.1829,142298,45,55
BENIGN,ALERT: HIGH_BYTE_RATE,518.132083,544343.4708,196861,44,58
BENIGN,ALERT: HIGH_BYTE_RATE,512.3158706,514152.0919,197144,45,56
BENIGN,ALERT: HIGH_BYTE_RATE,801.5186669,784138.3674,142230,53,61
BENIGN,ALERT: HIGH_BYTE_RATE,729.561846,774711.302,143922,46,59
BENIGN,ALERT: HIGH_BYTE_RATE,742.5309096,771125.3546,142755,47,59
BENIGN,ALERT: HIGH_BYTE_RATE,648.1555573,775178.0427,124970,31,50
BENIGN,ALERT: HIGH_BYTE_RATE,710.6820437,733789.7648,142117,47,54
BENIGN,ALERT: HIGH_BYTE_RATE,696.0850489,733111.1486,142224,45,54
BENIGN,ALERT: HIGH_BYTE_RATE,733.3631335,738336.034,143176,48,57
BENIGN,ALERT: HIGH_BYTE_RATE,786.1193778,782637.992,142472,47,65
BENIGN,ALERT: HIGH_BYTE_RATE,570.8531023,577132.4864,185687,47,59
BENIGN,ALERT: HIGH_BYTE_RATE,686.5341235,771089.9079,142746,42,56
BENIGN,ALERT: HIGH_BYTE_RATE,559.3743613,576370.7361,185922,46,58
BENIGN,ALERT: HIGH_BYTE_RATE,745.9825008,767427.7547,143435,49,58
BENIGN,ALERT: HIGH_BYTE_RATE,589.565758,543365.2413,186578,48,62
BENIGN,ALERT: HIGH_BYTE_RATE,573.1563034,563575.654,190175,49,60
BENIGN,ALERT: HIGH_BYTE_RATE,703.18543,784037.6907,142210,44,56
BENIGN,ALERT: HIGH_BYTE_RATE,776.4246693,780075.9637,142963,50,61
BENIGN,ALERT: HIGH_BYTE_RATE,762.8886183,780498.0473,142878,48,61
BENIGN,ALERT: HIGH_BYTE_RATE,531.2741638,571430.0743,190109,47,54
BENIGN,ALERT: HIGH_BYTE_RATE,753.1538317,797785.1698,143397,49,59
BENIGN,ALERT: HIGH_BYTE_RATE,183.999264,190567.2377,250001,19,27
BENIGN,ALERT: HIGH_BYTE_RATE,551.6100117,560764.6163,188539,45,59
BENIGN,ALERT: HIGH_BYTE_RATE,751.0405772,782696.5866,142469,48,59
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,2373.082465,2400288.16,23598,26,30
BENIGN,ALERT: HIGH_BYTE_RATE,748.6653466,739695.3562,142921,49,58
BENIGN,ALERT: HIGH_BYTE_RATE,694.4785448,751818.6218,142553,44,55
BENIGN,ALERT: HIGH_BYTE_RATE,707.1690134,740160.8985,142823,48,53
BENIGN,ALERT: HIGH_BYTE_RATE,766.9139383,777483.4068,143432,49,61
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,1207.532391,1418478.509,153205,69,116
BENIGN,ALERT: HIGH_BYTE_RATE,411.8096935,376057.8887,118987,22,27
BENIGN,ALERT: HIGH_BYTE_RATE,745.930496,747227.1602,143445,48,59
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,2179.088818,2226463.823,24781,25,29
BENIGN,ALERT: HIGH_BYTE_RATE,701.1393514,771744.0841,142625,45,55
BENIGN,ALERT: HIGH_BYTE_RATE,728.4230681,773502.05,144147,47,58
BENIGN,ALERT: HIGH_BYTE_RATE,176.046758,157129.7337,312417,24,31
BENIGN,ALERT: HIGH_BYTE_RATE,506.1753391,542387.1229,197560,44,56
BENIGN,ALERT: HIGH_BYTE_RATE,496.6320631,516777.0026,207397,48,55
BENIGN,ALERT: HIGH_BYTE_RATE,735.8811483,754028.2551,144045,48,58
BENIGN,ALERT: HIGH_BYTE_RATE,514.9254101,501923.5435,201971,47,57
BENIGN,ALERT: HIGH_BYTE_RATE,526.3717567,562101.2335,188080,43,56
BENIGN,ALERT: HIGH_BYTE_RATE,758.5494848,752790.1276,142377,46,62
BENIGN,ALERT: HIGH_BYTE_RATE,518.6721992,522862.2569,196656,44,58
BENIGN,ALERT: HIGH_BYTE_RATE,725.6485043,744754.8999,141942,47,56
BENIGN,ALERT: HIGH_BYTE_RATE,776.8865746,780498.0473,142878,50,61
BENIGN,ALERT: HIGH_BYTE_RATE,659.5362586,792794.3677,125846,30,53
BENIGN,ALERT: HIGH_BYTE_RATE,383.7138496,397410.7657,119881,20,26
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,2250.817514,2405232.089,23547,25,28
BENIGN,ALERT: HIGH_BYTE_RATE,729.5481011,741515.4959,142554,47,57
BENIGN,ALERT: HIGH_BYTE_RATE,679.7381957,720410.3657,142702,44,53
BENIGN,ALERT: HIGH_BYTE_RATE,714.3357378,770894.3203,142790,45,57
BENIGN,ALERT: HIGH_BYTE_RATE,639.305335,732461.2553,142342,41,50
BENIGN,ALERT: HIGH_BYTE_RATE,728.3933324,740383.8073,142780,47,57
BENIGN,ALERT: HIGH_BYTE_RATE,735.026461,780598.1015,142852,49,56
BENIGN,ALERT: HIGH_BYTE_RATE,756.3078173,760649.5844,142799,49,59
BENIGN,ALERT: HIGH_BYTE_RATE,757.8947368,741880.7018,142500,49,59
BENIGN,ALERT: HIGH_BYTE_RATE,230.790501,239651.9853,459291,46,60
BENIGN,ALERT: HIGH_BYTE_RATE,509.7931259,524220.2714,196158,46,54
BENIGN,ALERT: HIGH_BYTE_RATE,738.7995205,767250.2718,143476,49,57
BENIGN,ALERT: HIGH_BYTE_RATE,429.0293002,388599.5979,118873,23,28
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,2397.678038,2503848.904,23773,26,31
BENIGN,ALERT: HIGH_BYTE_RATE,716.1010405,772799.3934,142438,45,57
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,1122.983063,1427239.235,152273,68,103
BENIGN,ALERT: HIGH_BYTE_RATE,741.6840426,780153.6545,142918,48,58
BENIGN,ALERT: HIGH_BYTE_RATE,730.6346686,763091.7087,142342,48,56
BENIGN,ALERT: HIGH_BYTE_RATE,545.475864,546260.9414,196159,46,61
BENIGN,ALERT: HIGH_BYTE_RATE,567.9676842,576641.1347,188391,46,61
BENIGN,ALERT: HIGH_BYTE_RATE,711.8340651,745001.3039,141887,43,58
BENIGN,ALERT: HIGH_BYTE_RATE,756.604527,781278.2413,142743,50,58
BENIGN,ALERT: HIGH_BYTE_RATE,740.8598167,789588.8228,143077,48,58
BENIGN,ALERT: HIGH_BYTE_RATE,555.460312,684176.2386,145825,29,52
BENIGN,ALERT: HIGH_BYTE_RATE,695.7083928,742833.8522,142301,44,55
BENIGN,ALERT: HIGH_BYTE_RATE,767.1974278,777812.6504,143379,50,60
BENIGN,ALERT: HIGH_BYTE_RATE,263.4605544,271501.1678,394746,48,56
BENIGN,ALERT: HIGH_BYTE_RATE,425.3404769,401537.7694,122255,22,30
BENIGN,ALERT: HIGH_BYTE_RATE,716.075904,721846.6334,142443,47,55
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,2170.12042,2409088.975,23501,24,27
BENIGN,ALERT: HIGH_BYTE_RATE,760.2971437,767760.611,143365,48,61
BENIGN,ALERT: HIGH_BYTE_RATE,728.1638369,770705.4087,142825,47,57
BENIGN,ALERT: HIGH_BYTE_RATE,450.7775913,409790.2215,119793,23,31
BENIGN,ALERT: HIGH_BYTE_RATE,720.8594324,790565.8397,142885,46,57
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,2476.304329,2356246.264,23422,25,33
BENIGN,ALERT: HIGH_BYTE_RATE,735.685659,730626.9443,142724,43,62
BENIGN,ALERT: HIGH_BYTE_RATE,698.5142602,788999.7974,143161,47,53
BENIGN,ALERT: HIGH_BYTE_RATE,555.1594173,545849.0374,196340,49,60
BENIGN,ALERT: HIGH_BYTE_RATE,396.3802889,377370.9023,118573,21,26
BENIGN,ALERT: HIGH_BYTE_RATE,565.198559,566138.7959,189314,48,59
BENIGN,ALERT: HIGH_BYTE_RATE,643.7663128,729555.1715,142909,40,52
BENIGN,ALERT: HIGH_BYTE_RATE,676.9732388,690236.388,144762,42,56
BENIGN,ALERT: HIGH_BYTE_RATE,709.379258,742474.2587,142378,45,56
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,2119.084223,2292018.116,24067,23,28
BENIGN,ALERT: HIGH_BYTE_RATE,401.5493111,398554.4225,119537,20,28
BENIGN,ALERT: HIGH_BYTE_RATE,751.2778745,772875.3581,142424,49,58
BENIGN,ALERT: HIGH_BYTE_RATE,763.0488351,760430.6676,142848,49,60
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,2086.171662,2410507.493,23488,22,27
BENIGN,ALERT: HIGH_BYTE_RATE,674.9378147,735560.8809,131864,40,49
BENIGN,ALERT: HIGH_BYTE_RATE,701.3016158,741359.9641,142592,44,56
BENIGN,ALERT: HIGH_BYTE_RATE,711.5054619,737398.6802,143358,43,59
BENIGN,ALERT: HIGH_BYTE_RATE,785.0008761,781608.5509,142675,49,63
BENIGN,ALERT: HIGH_BYTE_RATE,735.3095653,740337.6822,142797,47,58
BENIGN,ALERT: HIGH_BYTE_RATE,735.6031946,771122.3203,142740,47,58
BENIGN,ALERT: HIGH_BYTE_RATE,688.9424733,743115.8478,142247,42,56
BENIGN,ALERT: HIGH_BYTE_RATE,530.7043058,517304.0221,195966,47,57
BENIGN,ALERT: HIGH_BYTE_RATE,600.8906057,575052.3097,186390,51,61
BENIGN,ALERT: HIGH_BYTE_RATE,746.4040069,737461.1103,143354,48,59
BENIGN,ALERT: HIGH_BYTE_RATE,616.1731447,699426.5389,142817,39,49
BENIGN,ALERT: HIGH_BYTE_RATE,791.6824303,781327.5043,142734,52,61
BENIGN,ALERT: HIGH_BYTE_RATE,601.8822499,757230.4037,127932,27,50
BENIGN,ALERT: HIGH_BYTE_RATE,555.4695053,580155.8519,187229,46,58
BENIGN,ALERT: HIGH_BYTE_RATE,771.1019046,781729.0909,142653,49,61
BENIGN,ALERT: HIGH_BYTE_RATE,744.4721206,735552.3705,143726,49,58
BENIGN,ALERT: HIGH_BYTE_RATE,766.021253,790517.6348,122712,42,52
BENIGN,ALERT: HIGH_BYTE_RATE,430.215619,444178.4586,234766,44,57
BENIGN,ALERT: HIGH_BYTE_RATE,834.8475176,782385.4189,142541,51,68
BENIGN,ALERT: HIGH_BYTE_RATE,654.4904179,720580.3148,146679,43,53
BENIGN,ALERT: HIGH_BYTE_RATE,646.5741996,714693.9201,143835,41,52
BENIGN,ALERT: HIGH_BYTE_RATE,375.8958852,410060.6445,119714,19,26
BENIGN,ALERT: HIGH_BYTE_RATE,700.1820473,730135.8353,142820,47,53
BENIGN,ALERT: HIGH_BYTE_RATE,590.9074122,565466.7377,189539,48,64
BENIGN,ALERT: HIGH_BYTE_RATE,728.1587386,770658.0034,142826,46,58
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,2140.87818,2559314.919,23822,23,28
BENIGN,ALERT: HIGH_BYTE_RATE,553.6774297,570596.5342,187835,48,56
BENIGN,ALERT: HIGH_BYTE_RATE,723.8686916,732723.7844,142291,43,60
BENIGN,ALERT: HIGH_BYTE_RATE,758.5194258,755749.786,143701,47,62
BENIGN,ALERT: HIGH_BYTE_RATE,534.6123297,516180.9332,196404,48,57
BENIGN,ALERT: HIGH_BYTE_RATE,681.9412124,702427.5701,142241,43,54
BENIGN,ALERT: HIGH_BYTE_RATE,454.5373523,490526.0156,224404,44,58
BENIGN,ALERT: HIGH_BYTE_RATE,682.5605773,756318.909,143577,43,55
BENIGN,ALERT: HIGH_BYTE_RATE,673.1312195,812865.7814,267407,75,105
BENIGN,ALERT: HIGH_BYTE_RATE,700.2147325,714832.5486,149954,50,55
BENIGN,ALERT: HIGH_BYTE_RATE,561.1260279,562028.0248,190688,47,60
BENIGN,ALERT: HIGH_BYTE_RATE,386.7301128,400534.6964,118946,21,25
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,2539.897557,2458959.489,23623,28,32
BENIGN,ALERT: HIGH_BYTE_RATE,728.5630443,752200.8675,148237,48,60
BENIGN,ALERT: HIGH_BYTE_RATE,715.2825015,781803.7742,142601,45,57
BENIGN,ALERT: HIGH_BYTE_RATE,561.4410671,562375.0531,190581,48,59
BENIGN,ALERT: HIGH_BYTE_RATE,701.3888889,774333.3333,144000,45,56
BENIGN,ALERT: HIGH_BYTE_RATE,681.9508011,743157.6431,142239,43,54
BENIGN,ALERT: HIGH_BYTE_RATE,780.6945393,777279.0007,143462,49,63
BENIGN,ALERT: HIGH_BYTE_RATE,553.3231622,575703.2039,186148,48,55
BENIGN,ALERT: HIGH_BYTE_RATE,763.7010776,740705.9681,142726,49,60
BENIGN,ALERT: HIGH_BYTE_RATE,692.373995,726229.6703,141542,44,54
BENIGN,ALERT: HIGH_BYTE_RATE,401.3939317,408199.3833,109618,21,23
BENIGN,ALERT: HIGH_BYTE_RATE,609.940438,568453.8805,188543,49,66
BENIGN,ALERT: HIGH_BYTE_RATE,719.4701314,735665.263,141771,47,55
BENIGN,ALERT: HIGH_BYTE_RATE,490.495493,515964.2401,216108,48,58
BENIGN,ALERT: HIGH_BYTE_RATE,484.4398916,518905.7714,198167,44,52
BENIGN,ALERT: HIGH_BYTE_RATE,711.0671417,749665.7212,129383,42,50
BENIGN,ALERT: HIGH_BYTE_RATE,739.4466339,788152.6023,123065,40,51
BENIGN,ALERT: HIGH_BYTE_RATE,692.4473775,746938.7467,141527,45,53
BENIGN,ALERT: HIGH_BYTE_RATE,738.6043894,784397.8616,142160,47,58
BENIGN,ALERT: HIGH_BYTE_RATE,536.681687,513320.8445,197510,49,57
BENIGN,ALERT: HIGH_BYTE_RATE,765.7074441,735817.0098,143658,47,63
BENIGN,ALERT: HIGH_BYTE_RATE,536.8230206,513425.6399,197458,48,58
BENIGN,ALERT: HIGH_BYTE_RATE,593.5416254,573136.6269,187013,49,62
BENIGN,ALERT: HIGH_BYTE_RATE,671.9489319,729890.5283,142868,43,53
BENIGN,ALERT: HIGH_BYTE_RATE,320.2300428,311355.0959,153015,22,27
BENIGN,ALERT: HIGH_BYTE_RATE,290.493597,191072.1635,82618,12,12
BENIGN,ALERT: HIGH_BYTE_RATE,787.7199342,797479.2962,143452,48,65
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,2369.274254,2534624.657,24058,27,30
BENIGN,ALERT: HIGH_BYTE_RATE,509.0854104,510970.5386,198395,45,56
BENIGN,ALERT: HIGH_BYTE_RATE,369.9188701,376190.6764,118945,19,25
BENIGN,ALERT: HIGH_BYTE_RATE,709.9027925,722666.9853,142273,47,54
BENIGN,ALERT: HIGH_BYTE_RATE,727.5983657,739533.7774,142936,47,57
BENIGN,ALERT: HIGH_BYTE_RATE,756.2866326,740306.5762,142803,49,59
BENIGN,ALERT: HIGH_BYTE_RATE,559.5344673,571140.8108,187656,48,57
BENIGN,ALERT: HIGH_BYTE_RATE,683.1172452,736832.5666,143460,44,54
BENIGN,ALERT: HIGH_PACKET_RATE | HIGH_BYTE_RATE,2217.95692,2332736.191,23445,23,29
BENIGN,ALERT: HIGH_BYTE_RATE,413.6138029,402150.7918,118468,22,27
BENIGN,ALERT: HIGH_BYTE_RATE,714.6660688,750917.8554,142724,46,56
